adx,pb_pct,vol_mult,atr_floor,risk_pct,sl_mult,tp_mult,trail_act,trail_dist,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
15,0.3,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,50,56.0,1.508,37.07,13707.3,-12.23,3.032
15,0.3,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,50,56.0,1.508,37.07,13707.3,-12.23,3.032
15,0.3,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,48,56.2,1.526,36.82,13681.65,-10.87,3.387
15,0.3,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,48,56.2,1.526,36.82,13681.65,-10.87,3.387
15,0.25,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,50,56.0,1.504,36.7,13670.39,-12.23,3.002
15,0.25,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,50,56.0,1.504,36.7,13670.39,-12.23,3.002
15,0.25,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,48,56.2,1.522,36.45,13644.82,-10.87,3.354
15,0.25,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,48,56.2,1.522,36.45,13644.82,-10.87,3.354
15,0.5,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,56,57.1,1.453,36.4,13640.12,-14.01,2.599
15,0.5,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,56,57.1,1.453,36.4,13640.12,-14.01,2.599
15,0.3,0.7,0.0,3.0,2.0,6.0,2.5,0.1,30,51,54.9,1.494,36.33,13632.62,-12.71,2.859
15,0.3,0.7,0.0005,3.0,2.0,6.0,2.5,0.1,30,51,54.9,1.494,36.33,13632.62,-12.71,2.859
15,0.3,0.7,0.0,3.0,2.0,8.0,2.5,0.1,30,51,54.9,1.494,36.33,13632.62,-12.71,2.859
15,0.3,0.7,0.0005,3.0,2.0,8.0,2.5,0.1,30,51,54.9,1.494,36.33,13632.62,-12.71,2.859
15,0.5,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,54,57.4,1.468,36.15,13614.6,-14.01,2.581
15,0.5,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,54,57.4,1.468,36.15,13614.6,-14.01,2.581
15,0.25,0.7,0.0,3.0,2.0,8.0,2.5,0.1,30,51,54.9,1.49,35.96,13595.92,-12.71,2.83
15,0.25,0.7,0.0005,3.0,2.0,6.0,2.5,0.1,30,51,54.9,1.49,35.96,13595.92,-12.71,2.83
15,0.25,0.7,0.0005,3.0,2.0,8.0,2.5,0.1,30,51,54.9,1.49,35.96,13595.92,-12.71,2.83
15,0.25,0.7,0.0,3.0,2.0,6.0,2.5,0.1,30,51,54.9,1.49,35.96,13595.92,-12.71,2.83
15,0.5,0.7,0.0,3.0,2.0,8.0,2.5,0.1,30,57,56.1,1.44,35.66,13565.81,-14.01,2.546
15,0.5,0.7,0.0005,3.0,2.0,8.0,2.5,0.1,30,57,56.1,1.44,35.66,13565.81,-14.01,2.546
15,0.5,0.7,0.0005,3.0,2.0,6.0,2.5,0.1,30,57,56.1,1.44,35.66,13565.81,-14.01,2.546
15,0.5,0.7,0.0,3.0,2.0,6.0,2.5,0.1,30,57,56.1,1.44,35.66,13565.81,-14.01,2.546
15,0.3,0.7,0.001,3.0,2.0,8.0,2.5,0.2,30,50,56.0,1.457,32.73,13272.59,-12.23,2.676
15,0.3,0.7,0.001,3.0,2.0,6.0,2.5,0.2,30,50,56.0,1.457,32.73,13272.59,-12.23,2.676
15,0.3,0.7,0.0015,3.0,2.0,8.0,2.5,0.2,30,48,56.2,1.474,32.57,13257.49,-11.19,2.911
15,0.3,0.7,0.0015,3.0,2.0,6.0,2.5,0.2,30,48,56.2,1.474,32.57,13257.49,-11.19,2.911
15,0.3,0.7,0.001,2.5,2.0,6.0,2.5,0.1,30,50,56.0,1.483,32.47,13247.49,-11.73,2.767
15,0.3,0.7,0.001,2.5,2.0,8.0,2.5,0.1,30,50,56.0,1.483,32.47,13247.49,-11.73,2.767
15,0.3,0.7,0.001,3.0,2.0,4.0,2.5,0.1,30,50,56.0,1.449,32.43,13243.06,-12.23,2.652
15,0.4,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,55,56.4,1.413,32.38,13238.34,-14.01,2.312
15,0.4,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,55,56.4,1.413,32.38,13238.34,-14.01,2.312
15,0.25,0.7,0.001,3.0,2.0,8.0,2.5,0.2,30,50,56.0,1.453,32.37,13236.59,-12.23,2.647
15,0.25,0.7,0.001,3.0,2.0,6.0,2.5,0.2,30,50,56.0,1.453,32.37,13236.59,-12.23,2.647
15,0.5,0.7,0.001,2.5,2.0,6.0,2.5,0.1,30,56,57.1,1.437,32.27,13227.21,-12.6,2.561
15,0.5,0.7,0.001,2.5,2.0,8.0,2.5,0.1,30,56,57.1,1.437,32.27,13227.21,-12.6,2.561
15,0.3,0.7,0.0015,2.5,2.0,6.0,2.5,0.1,30,48,56.2,1.501,32.23,13222.71,-10.22,3.152
15,0.3,0.7,0.0015,2.5,2.0,8.0,2.5,0.1,30,48,56.2,1.501,32.23,13222.71,-10.22,3.152
15,0.25,0.7,0.0015,3.0,2.0,8.0,2.5,0.2,30,48,56.2,1.469,32.22,13221.53,-11.19,2.878
15,0.25,0.7,0.0015,3.0,2.0,6.0,2.5,0.2,30,48,56.2,1.469,32.22,13221.53,-11.19,2.878
15,0.3,0.7,0.0015,3.0,2.0,4.0,2.5,0.1,30,48,56.2,1.464,32.18,13218.28,-10.87,2.961
15,0.4,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,53,56.6,1.426,32.14,13213.57,-14.01,2.294
15,0.4,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,53,56.6,1.426,32.14,13213.57,-14.01,2.294
15,0.25,0.7,0.001,2.5,2.0,8.0,2.5,0.1,30,50,56.0,1.479,32.12,13211.82,-11.73,2.737
15,0.25,0.7,0.001,2.5,2.0,6.0,2.5,0.1,30,50,56.0,1.479,32.12,13211.82,-11.73,2.737
15,0.25,0.7,0.001,3.0,2.0,4.0,2.5,0.1,30,50,56.0,1.445,32.07,13207.4,-12.23,2.623
15,0.5,0.7,0.0015,2.5,2.0,8.0,2.5,0.1,30,54,57.4,1.452,32.02,13202.46,-12.6,2.541
15,0.5,0.7,0.0015,2.5,2.0,6.0,2.5,0.1,30,54,57.4,1.452,32.02,13202.46,-12.6,2.541
15,0.3,0.7,0.0005,3.0,2.0,6.0,2.5,0.2,30,51,54.9,1.443,32.0,13200.28,-12.71,2.519
15,0.3,0.7,0.0005,3.0,2.0,8.0,2.5,0.2,30,51,54.9,1.443,32.0,13200.28,-12.71,2.519
15,0.3,0.7,0.0,3.0,2.0,6.0,2.5,0.2,30,51,54.9,1.443,32.0,13200.28,-12.71,2.519
15,0.3,0.7,0.0,3.0,2.0,8.0,2.5,0.2,30,51,54.9,1.443,32.0,13200.28,-12.71,2.519
15,0.25,0.7,0.0015,2.5,2.0,6.0,2.5,0.1,30,48,56.2,1.496,31.87,13187.11,-10.22,3.117
15,0.25,0.7,0.0015,2.5,2.0,8.0,2.5,0.1,30,48,56.2,1.496,31.87,13187.11,-10.22,3.117
15,0.25,0.7,0.0015,3.0,2.0,4.0,2.5,0.1,30,48,56.2,1.46,31.83,13182.69,-10.87,2.928
15,0.5,0.7,0.001,3.0,2.0,4.0,2.5,0.1,30,56,57.1,1.399,31.78,13178.16,-14.01,2.269
15,0.3,0.7,0.0,2.5,2.0,8.0,2.5,0.1,30,51,54.9,1.468,31.75,13175.32,-12.22,2.599
15,0.3,0.7,0.0005,2.5,2.0,8.0,2.5,0.1,30,51,54.9,1.468,31.75,13175.32,-12.22,2.599
15,0.3,0.7,0.0,2.5,2.0,6.0,2.5,0.1,30,51,54.9,1.468,31.75,13175.32,-12.22,2.599
15,0.3,0.7,0.0005,2.5,2.0,6.0,2.5,0.1,30,51,54.9,1.468,31.75,13175.32,-12.22,2.599
15,0.5,0.7,0.001,3.0,2.0,8.0,2.5,0.2,30,56,57.1,1.403,31.73,13173.32,-14.01,2.266
15,0.5,0.7,0.001,3.0,2.0,6.0,2.5,0.2,30,56,57.1,1.403,31.73,13173.32,-14.01,2.266
15,0.3,0.7,0.0,3.0,2.0,4.0,2.5,0.1,30,51,54.9,1.435,31.71,13170.91,-12.71,2.495
15,0.3,0.7,0.0005,3.0,2.0,4.0,2.5,0.1,30,51,54.9,1.435,31.71,13170.91,-12.71,2.495
15,0.4,0.7,0.0,3.0,2.0,8.0,2.5,0.1,30,56,55.4,1.401,31.66,13166.21,-14.01,2.261
15,0.4,0.7,0.0005,3.0,2.0,6.0,2.5,0.1,30,56,55.4,1.401,31.66,13166.21,-14.01,2.261
15,0.4,0.7,0.0005,3.0,2.0,8.0,2.5,0.1,30,56,55.4,1.401,31.66,13166.21,-14.01,2.261
15,0.4,0.7,0.0,3.0,2.0,6.0,2.5,0.1,30,56,55.4,1.401,31.66,13166.21,-14.01,2.261
15,0.25,0.7,0.0005,3.0,2.0,8.0,2.5,0.2,30,51,54.9,1.439,31.64,13164.48,-12.71,2.49
15,0.25,0.7,0.0,3.0,2.0,6.0,2.5,0.2,30,51,54.9,1.439,31.64,13164.48,-12.71,2.49
15,0.25,0.7,0.0,3.0,2.0,8.0,2.5,0.2,30,51,54.9,1.439,31.64,13164.48,-12.71,2.49
15,0.25,0.7,0.0005,3.0,2.0,6.0,2.5,0.2,30,51,54.9,1.439,31.64,13164.48,-12.71,2.49
15,0.5,0.7,0.0015,3.0,2.0,6.0,2.5,0.2,30,54,57.4,1.416,31.58,13158.33,-14.01,2.255
15,0.5,0.7,0.0015,3.0,2.0,8.0,2.5,0.2,30,54,57.4,1.416,31.58,13158.33,-14.01,2.255
15,0.5,0.7,0.0005,2.5,2.0,6.0,2.5,0.1,30,57,56.1,1.424,31.55,13155.15,-12.6,2.504
15,0.5,0.7,0.0005,2.5,2.0,8.0,2.5,0.1,30,57,56.1,1.424,31.55,13155.15,-12.6,2.504
15,0.5,0.7,0.0,2.5,2.0,6.0,2.5,0.1,30,57,56.1,1.424,31.55,13155.15,-12.6,2.504
15,0.5,0.7,0.0,2.5,2.0,8.0,2.5,0.1,30,57,56.1,1.424,31.55,13155.15,-12.6,2.504
15,0.5,0.7,0.0015,3.0,2.0,4.0,2.5,0.1,30,54,57.4,1.411,31.54,13153.5,-14.01,2.252
15,0.25,0.7,0.0,2.5,2.0,8.0,2.5,0.1,30,51,54.9,1.464,31.4,13139.85,-12.22,2.57
15,0.25,0.7,0.0005,2.5,2.0,6.0,2.5,0.1,30,51,54.9,1.464,31.4,13139.85,-12.22,2.57
15,0.25,0.7,0.0,2.5,2.0,6.0,2.5,0.1,30,51,54.9,1.464,31.4,13139.85,-12.22,2.57
15,0.25,0.7,0.0005,2.5,2.0,8.0,2.5,0.1,30,51,54.9,1.464,31.4,13139.85,-12.22,2.57
15,0.25,0.7,0.0,3.0,2.0,4.0,2.5,0.1,30,51,54.9,1.431,31.35,13135.45,-12.71,2.468
15,0.25,0.7,0.0005,3.0,2.0,4.0,2.5,0.1,30,51,54.9,1.431,31.35,13135.45,-12.71,2.468
15,0.5,0.7,0.0005,3.0,2.0,4.0,2.5,0.1,30,57,56.1,1.387,31.06,13106.36,-14.01,2.218
15,0.5,0.7,0.0,3.0,2.0,4.0,2.5,0.1,30,57,56.1,1.387,31.06,13106.36,-14.01,2.218
15,0.5,0.7,0.0005,3.0,2.0,8.0,2.5,0.2,30,57,56.1,1.39,31.02,13101.56,-14.01,2.214
15,0.5,0.7,0.0,3.0,2.0,6.0,2.5,0.2,30,57,56.1,1.39,31.02,13101.56,-14.01,2.214
15,0.5,0.7,0.0,3.0,2.0,8.0,2.5,0.2,30,57,56.1,1.39,31.02,13101.56,-14.01,2.214
15,0.5,0.7,0.0005,3.0,2.0,6.0,2.5,0.2,30,57,56.1,1.39,31.02,13101.56,-14.01,2.214
18,0.25,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,40,57.5,1.518,29.36,12936.01,-8.09,3.628
18,0.25,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,40,57.5,1.518,29.36,12936.01,-8.09,3.628
18,0.3,0.7,0.001,3.0,2.0,6.0,2.5,0.1,30,40,57.5,1.518,29.36,12936.01,-8.09,3.628
18,0.3,0.7,0.001,3.0,2.0,8.0,2.5,0.1,30,40,57.5,1.518,29.36,12936.01,-8.09,3.628
18,0.25,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,38,57.9,1.539,29.12,12911.81,-8.09,3.598
18,0.3,0.7,0.0015,3.0,2.0,8.0,2.5,0.1,30,38,57.9,1.539,29.12,12911.81,-8.09,3.598
18,0.3,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,38,57.9,1.539,29.12,12911.81,-8.09,3.598
18,0.25,0.7,0.0015,3.0,2.0,6.0,2.5,0.1,30,38,57.9,1.539,29.12,12911.81,-8.09,3.598
