adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
33,0.9,0.5,4.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
33,1.2,0.7,3.0,2.0,13,10,3,0,10,3,76.9,8.97,-2.33,3.86
33,1.2,0.7,4.0,2.0,13,10,3,0,10,3,76.9,8.97,-2.33,3.86
33,0.9,0.5,3.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
33,0.9,0.5,2.0,2.0,14,9,5,0,9,5,64.3,8.97,-3.64,2.46
35,1.5,0.7,3.0,2.0,11,10,1,0,10,1,90.9,8.97,-1.18,7.61
35,0.8,0.5,2.0,3.0,12,7,5,6,1,5,58.3,8.95,-2.58,3.46
33,1.1,0.2,4.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
33,1.1,0.2,3.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
33,1.1,0.2,2.0,2.0,14,9,5,0,9,5,64.3,8.93,-3.52,2.54
30,1.5,0.3,2.0,3.0,19,13,6,11,2,6,68.4,8.92,-3.47,2.57
35,1.2,0.3,3.0,3.0,11,6,5,0,6,5,54.5,8.91,-2.39,3.73
35,1.2,0.3,4.0,3.0,11,6,5,0,6,5,54.5,8.91,-2.39,3.73
35,1.2,1.0,2.0,2.0,11,9,2,4,5,2,81.8,8.88,-1.36,6.51
35,0.9,1.0,4.0,3.0,11,6,5,0,6,5,54.5,8.81,-2.52,3.5
35,0.9,1.0,3.0,3.0,11,6,5,0,6,5,54.5,8.81,-2.52,3.5
35,0.9,0.5,2.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,1.5,0.2,3.0,3.0,10,6,4,0,6,4,60.0,8.77,-2.31,3.8
35,0.9,0.5,3.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,0.9,0.5,4.0,2.0,12,8,4,0,8,4,66.7,8.77,-2.52,3.48
35,1.5,0.2,4.0,3.0,10,6,4,0,6,4,60.0,8.77,-2.31,3.8
35,1.0,1.0,2.0,3.0,12,8,4,7,1,4,66.7,8.75,-2.47,3.55
33,1.1,0.2,2.0,3.0,14,9,5,8,1,5,64.3,8.74,-3.52,2.48
30,1.2,1.0,2.0,3.0,19,12,7,10,2,7,63.2,8.71,-3.49,2.5
35,0.8,0.7,2.0,3.0,12,7,5,6,1,5,58.3,8.69,-2.58,3.36
35,1.1,0.2,4.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,0.8,0.3,3.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
35,1.1,0.2,3.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,1.1,0.2,2.0,2.0,12,8,4,0,8,4,66.7,8.67,-2.42,3.58
35,0.8,0.3,4.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
35,0.8,0.3,2.0,2.0,12,7,5,0,7,5,58.3,8.67,-2.58,3.36
33,1.0,1.0,4.0,3.0,13,7,6,0,7,6,53.8,8.65,-3.58,2.42
33,1.0,1.0,3.0,3.0,13,7,6,0,7,6,53.8,8.65,-3.58,2.42
33,1.1,0.3,2.0,3.0,14,9,5,8,1,5,64.3,8.65,-3.52,2.46
30,1.5,0.5,2.0,3.0,19,13,6,11,2,6,68.4,8.64,-3.47,2.49
35,1.2,0.7,2.0,2.0,11,9,2,1,8,2,81.8,8.61,-1.36,6.31
30,1.5,0.3,3.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,0.3,4.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,0.3,2.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
35,0.9,0.7,3.0,2.0,12,8,4,0,8,4,66.7,8.57,-2.52,3.4
35,0.9,0.7,4.0,2.0,12,8,4,0,8,4,66.7,8.57,-2.52,3.4
33,0.9,0.7,3.0,2.0,14,9,5,0,9,5,64.3,8.53,-3.64,2.34
33,0.9,0.7,4.0,2.0,14,9,5,0,9,5,64.3,8.53,-3.64,2.34
33,1.5,0.7,3.0,2.0,13,11,2,0,11,2,84.6,8.51,-2.26,3.77
33,1.5,0.7,4.0,2.0,13,11,2,0,11,2,84.6,8.51,-2.26,3.77
33,1.5,1.0,2.0,2.0,13,11,2,5,6,2,84.6,8.46,-2.26,3.75
33,1.1,0.5,2.0,3.0,14,9,5,8,1,5,64.3,8.45,-3.52,2.4
35,1.5,0.7,2.0,2.0,11,10,1,1,9,1,90.9,8.44,-1.18,7.16
35,1.5,1.0,2.0,2.0,11,10,1,4,6,1,90.9,8.43,-1.18,7.15
30,1.5,0.7,2.0,3.0,19,13,6,11,2,6,68.4,8.35,-3.47,2.41
33,1.5,0.5,4.0,3.0,12,7,5,0,7,5,58.3,8.35,-3.37,2.47
33,1.5,0.5,3.0,3.0,12,7,5,0,7,5,58.3,8.35,-3.37,2.47
35,1.5,0.3,3.0,3.0,10,6,4,0,6,4,60.0,8.34,-2.31,3.62
35,1.5,0.3,4.0,3.0,10,6,4,0,6,4,60.0,8.34,-2.31,3.62
35,1.1,0.2,2.0,3.0,12,8,4,7,1,4,66.7,8.31,-2.42,3.43
33,1.2,0.7,2.0,2.0,13,10,3,1,9,3,76.9,8.31,-2.33,3.57
35,0.8,1.0,2.0,3.0,12,7,5,6,1,5,58.3,8.29,-2.58,3.21
33,1.1,0.7,2.0,3.0,14,9,5,8,1,5,64.3,8.26,-3.52,2.35
35,1.1,0.3,2.0,3.0,12,8,4,7,1,4,66.7,8.21,-2.42,3.39
33,0.9,1.0,2.0,2.0,14,9,5,4,5,5,64.3,8.17,-3.64,2.24
33,1.1,0.3,2.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
33,1.1,0.3,3.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
33,1.1,0.3,4.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
35,1.1,0.5,2.0,3.0,12,8,4,7,1,4,66.7,8.02,-2.42,3.31
28,1.5,0.5,2.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
28,1.5,0.5,3.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
28,1.5,0.5,4.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
33,1.5,0.7,2.0,2.0,13,11,2,1,10,2,84.6,7.98,-2.26,3.53
33,1.1,1.0,2.0,3.0,14,9,5,8,1,5,64.3,7.97,-3.52,2.26
33,1.2,0.7,3.0,3.0,13,7,6,0,7,6,53.8,7.95,-3.48,2.29
33,1.2,0.7,4.0,3.0,13,7,6,0,7,6,53.8,7.95,-3.48,2.29
30,1.5,1.0,2.0,3.0,19,13,6,11,2,6,68.4,7.93,-3.47,2.28
35,1.1,0.7,4.0,3.0,11,6,5,0,6,5,54.5,7.92,-2.42,3.27
35,1.1,0.7,3.0,3.0,11,6,5,0,6,5,54.5,7.92,-2.42,3.27
35,1.1,0.3,3.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
35,1.1,0.3,4.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
35,1.1,0.3,2.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
35,1.2,0.5,3.0,3.0,11,6,5,0,6,5,54.5,7.85,-2.39,3.29
35,1.2,0.5,4.0,3.0,11,6,5,0,6,5,54.5,7.85,-2.39,3.29
35,1.1,0.7,2.0,3.0,12,8,4,7,1,4,66.7,7.83,-2.42,3.23
35,0.9,0.7,2.0,2.0,12,8,4,1,7,4,66.7,7.7,-2.52,3.06
33,0.9,0.7,2.0,2.0,14,9,5,1,8,5,64.3,7.66,-3.64,2.1
30,1.2,0.5,3.0,2.0,19,12,7,0,12,7,63.2,7.66,-3.49,2.2
30,1.2,0.5,4.0,2.0,19,12,7,0,12,7,63.2,7.66,-3.49,2.2
30,1.2,0.5,2.0,2.0,19,12,7,0,12,7,63.2,7.66,-3.49,2.2
33,1.2,1.0,4.0,2.0,13,10,3,0,10,3,76.9,7.55,-2.33,3.24
33,1.2,1.0,3.0,2.0,13,10,3,0,10,3,76.9,7.55,-2.33,3.24
35,1.1,1.0,2.0,3.0,12,8,4,7,1,4,66.7,7.54,-2.42,3.11
35,1.2,1.0,3.0,2.0,11,9,2,0,9,2,81.8,7.53,-1.36,5.52
35,1.2,1.0,4.0,2.0,11,9,2,0,9,2,81.8,7.53,-1.36,5.52
33,1.0,0.5,3.0,2.0,14,9,5,0,9,5,64.3,7.51,-3.58,2.1
33,1.0,0.5,4.0,2.0,14,9,5,0,9,5,64.3,7.51,-3.58,2.1
33,1.0,0.5,2.0,2.0,14,9,5,0,9,5,64.3,7.51,-3.58,2.1
35,1.5,0.5,4.0,3.0,10,6,4,0,6,4,60.0,7.5,-2.31,3.25
35,1.5,0.5,3.0,3.0,10,6,4,0,6,4,60.0,7.5,-2.31,3.25
35,1.0,0.5,2.0,2.0,12,8,4,0,8,4,66.7,7.44,-2.47,3.02
35,1.0,0.5,4.0,2.0,12,8,4,0,8,4,66.7,7.44,-2.47,3.02
35,1.0,0.5,3.0,2.0,12,8,4,0,8,4,66.7,7.44,-2.47,3.02
35,0.9,1.0,2.0,2.0,12,8,4,3,5,4,66.7,7.4,-2.52,2.94
35,1.0,1.0,3.0,3.0,11,6,5,0,6,5,54.5,7.37,-2.47,2.99
35,1.0,1.0,4.0,3.0,11,6,5,0,6,5,54.5,7.37,-2.47,2.99
33,1.5,0.7,4.0,3.0,12,7,5,0,7,5,58.3,7.36,-3.37,2.18
33,1.5,0.7,3.0,3.0,12,7,5,0,7,5,58.3,7.36,-3.37,2.18
35,1.5,1.0,3.0,2.0,11,10,1,0,10,1,90.9,7.35,-1.18,6.24
35,1.5,1.0,4.0,2.0,11,10,1,0,10,1,90.9,7.35,-1.18,6.24
35,0.7,0.2,2.0,3.0,12,6,6,5,1,6,50.0,7.31,-4.33,1.69
33,1.1,1.0,4.0,3.0,13,7,6,0,7,6,53.8,7.26,-3.52,2.06
33,1.1,1.0,3.0,3.0,13,7,6,0,7,6,53.8,7.26,-3.52,2.06
35,1.0,0.7,4.0,2.0,12,8,4,0,8,4,66.7,7.26,-2.47,2.95
35,1.0,0.7,3.0,2.0,12,8,4,0,8,4,66.7,7.26,-2.47,2.95
33,0.8,0.5,2.0,2.0,14,8,6,0,8,6,57.1,7.18,-3.73,1.93
33,0.8,0.5,4.0,2.0,14,8,6,0,8,6,57.1,7.18,-3.73,1.93
33,0.8,0.5,3.0,2.0,14,8,6,0,8,6,57.1,7.18,-3.73,1.93
35,0.7,0.3,2.0,3.0,12,6,6,5,1,6,50.0,7.16,-4.33,1.65
33,1.5,1.0,4.0,2.0,13,11,2,0,11,2,84.6,7.15,-2.26,3.17
33,1.5,1.0,3.0,2.0,13,11,2,0,11,2,84.6,7.15,-2.26,3.17
33,1.0,0.7,4.0,2.0,14,9,5,0,9,5,64.3,7.12,-3.58,1.99
33,1.0,0.7,3.0,2.0,14,9,5,0,9,5,64.3,7.12,-3.58,1.99
33,0.8,0.7,4.0,2.0,14,8,6,0,8,6,57.1,6.96,-3.73,1.87
33,0.8,0.7,3.0,2.0,14,8,6,0,8,6,57.1,6.96,-3.73,1.87
33,0.8,1.0,2.0,2.0,14,8,6,4,4,6,57.1,6.95,-3.73,1.86
35,0.7,0.5,2.0,3.0,12,6,6,5,1,6,50.0,6.87,-4.33,1.59
35,0.8,0.7,3.0,2.0,12,7,5,0,7,5,58.3,6.87,-2.58,2.66
35,0.8,0.7,4.0,2.0,12,7,5,0,7,5,58.3,6.87,-2.58,2.66
35,0.7,0.2,3.0,2.0,12,6,6,0,6,6,50.0,6.85,-4.33,1.58
35,0.7,0.2,4.0,2.0,12,6,6,0,6,6,50.0,6.85,-4.33,1.58
35,0.7,0.2,2.0,2.0,12,6,6,0,6,6,50.0,6.85,-4.33,1.58
35,0.8,0.5,3.0,2.0,12,7,5,0,7,5,58.3,6.83,-2.58,2.64
35,0.8,0.5,4.0,2.0,12,7,5,0,7,5,58.3,6.83,-2.58,2.64
35,0.8,0.5,2.0,2.0,12,7,5,0,7,5,58.3,6.83,-2.58,2.64
30,1.2,0.7,3.0,2.0,19,12,7,0,12,7,63.2,6.81,-3.55,1.92
30,1.2,0.7,4.0,2.0,19,12,7,0,12,7,63.2,6.81,-3.55,1.92
35,1.2,0.7,4.0,3.0,11,6,5,0,6,5,54.5,6.8,-2.39,2.85
33,1.0,1.0,2.0,2.0,14,9,5,4,5,5,64.3,6.8,-3.58,1.9
35,1.2,0.7,3.0,3.0,11,6,5,0,6,5,54.5,6.8,-2.39,2.85
30,1.5,0.5,4.0,2.0,19,13,6,0,13,6,68.4,6.75,-3.5,1.93
30,1.5,0.5,3.0,2.0,19,13,6,0,13,6,68.4,6.75,-3.5,1.93
30,1.5,0.5,2.0,2.0,19,13,6,0,13,6,68.4,6.75,-3.5,1.93
35,1.5,0.7,3.0,3.0,10,6,4,0,6,4,60.0,6.66,-2.31,2.89
35,1.5,0.7,4.0,3.0,10,6,4,0,6,4,60.0,6.66,-2.31,2.89
28,1.5,1.0,3.0,3.0,24,13,11,0,13,11,54.2,6.63,-4.37,1.52
28,1.5,0.7,4.0,2.0,26,17,9,0,17,9,65.4,6.63,-3.78,1.75
28,1.5,0.7,3.0,2.0,26,17,9,0,17,9,65.4,6.63,-3.78,1.75
28,1.5,1.0,4.0,3.0,24,13,11,0,13,11,54.2,6.63,-4.37,1.52
35,0.7,0.7,2.0,3.0,12,6,6,5,1,6,50.0,6.57,-4.33,1.52
30,1.2,1.0,2.0,2.0,19,12,7,5,7,7,63.2,6.49,-3.79,1.71
35,1.0,0.7,2.0,2.0,12,8,4,1,7,4,66.7,6.48,-2.47,2.63
35,1.1,0.5,2.0,2.0,12,8,4,0,8,4,66.7,6.36,-2.42,2.63
35,1.1,0.5,4.0,2.0,12,8,4,0,8,4,66.7,6.36,-2.42,2.63
35,1.1,0.5,3.0,2.0,12,8,4,0,8,4,66.7,6.36,-2.42,2.63
33,1.0,0.7,2.0,2.0,14,9,5,1,8,5,64.3,6.34,-3.58,1.77
33,1.1,0.5,2.0,2.0,14,9,5,0,9,5,64.3,6.33,-3.52,1.8
33,1.1,0.5,3.0,2.0,14,9,5,0,9,5,64.3,6.33,-3.52,1.8
33,1.1,0.5,4.0,2.0,14,9,5,0,9,5,64.3,6.33,-3.52,1.8
35,1.0,1.0,2.0,2.0,12,8,4,3,5,4,66.7,6.22,-2.47,2.52
35,1.1,1.0,3.0,3.0,11,6,5,0,6,5,54.5,6.21,-2.42,2.56
35,1.1,1.0,4.0,3.0,11,6,5,0,6,5,54.5,6.21,-2.42,2.56
35,1.1,0.7,4.0,2.0,12,8,4,0,8,4,66.7,6.2,-2.42,2.56
35,1.1,0.7,3.0,2.0,12,8,4,0,8,4,66.7,6.2,-2.42,2.56
30,1.2,0.7,2.0,2.0,19,12,7,1,11,7,63.2,6.16,-3.55,1.73
33,0.9,1.0,4.0,2.0,14,9,5,0,9,5,64.3,6.14,-3.64,1.68
33,0.9,1.0,3.0,2.0,14,9,5,0,9,5,64.3,6.14,-3.64,1.68
35,0.7,1.0,2.0,3.0,12,6,6,5,1,6,50.0,6.13,-4.33,1.42
33,1.2,1.0,3.0,3.0,13,7,6,0,7,6,53.8,6.12,-3.48,1.76
33,1.2,1.0,4.0,3.0,13,7,6,0,7,6,53.8,6.12,-3.48,1.76
28,1.5,0.7,2.0,2.0,26,17,9,1,16,9,65.4,6.11,-3.78,1.62
28,1.5,1.0,2.0,2.0,26,17,9,6,11,9,65.4,6.02,-3.97,1.52
33,0.8,0.7,2.0,2.0,14,8,6,1,7,6,57.1,5.99,-3.73,1.61
33,1.1,0.7,3.0,2.0,14,9,5,0,9,5,64.3,5.98,-3.52,1.7
33,1.1,0.7,4.0,2.0,14,9,5,0,9,5,64.3,5.98,-3.52,1.7
35,0.8,1.0,2.0,2.0,12,7,5,3,4,5,58.3,5.97,-2.58,2.31
35,0.7,0.3,4.0,2.0,12,6,6,0,6,6,50.0,5.96,-4.33,1.38
35,0.7,0.3,3.0,2.0,12,6,6,0,6,6,50.0,5.96,-4.33,1.38
35,0.7,0.3,2.0,2.0,12,6,6,0,6,6,50.0,5.96,-4.33,1.38
30,1.5,0.7,4.0,2.0,19,13,6,0,13,6,68.4,5.93,-3.63,1.63
30,1.5,0.7,3.0,2.0,19,13,6,0,13,6,68.4,5.93,-3.63,1.63
35,0.8,0.7,2.0,2.0,12,7,5,1,6,5,58.3,5.9,-2.58,2.28
33,1.5,1.0,3.0,3.0,12,7,5,0,7,5,58.3,5.89,-3.37,1.75
33,1.5,1.0,4.0,3.0,12,7,5,0,7,5,58.3,5.89,-3.37,1.75
35,0.9,1.0,4.0,2.0,12,8,4,0,8,4,66.7,5.76,-2.52,2.29
35,0.9,1.0,3.0,2.0,12,8,4,0,8,4,66.7,5.76,-2.52,2.29
33,1.1,1.0,2.0,2.0,14,9,5,4,5,5,64.3,5.69,-3.52,1.61
35,1.1,0.7,2.0,2.0,12,8,4,1,7,4,66.7,5.5,-2.42,2.27
30,1.5,1.0,2.0,2.0,19,13,6,5,8,6,68.4,5.47,-3.82,1.43
35,1.5,1.0,4.0,3.0,10,6,4,0,6,4,60.0,5.41,-2.31,2.34
30,1.5,0.7,2.0,2.0,19,13,6,1,12,6,68.4,5.41,-3.63,1.49
35,1.5,1.0,3.0,3.0,10,6,4,0,6,4,60.0,5.41,-2.31,2.34
33,1.1,0.7,2.0,2.0,14,9,5,1,8,5,64.3,5.28,-3.52,1.5
35,1.1,1.0,2.0,2.0,12,8,4,3,5,4,66.7,5.26,-2.42,2.17
35,1.2,1.0,3.0,3.0,11,6,5,0,6,5,54.5,5.25,-2.39,2.2
35,1.2,1.0,4.0,3.0,11,6,5,0,6,5,54.5,5.25,-2.39,2.2
33,1.0,1.0,3.0,2.0,14,9,5,0,9,5,64.3,4.99,-3.58,1.39
33,1.0,1.0,4.0,2.0,14,9,5,0,9,5,64.3,4.99,-3.58,1.39
30,1.2,1.0,3.0,2.0,19,12,7,0,12,7,63.2,4.89,-3.79,1.29
30,1.2,1.0,4.0,2.0,19,12,7,0,12,7,63.2,4.89,-3.79,1.29
35,1.0,1.0,3.0,2.0,12,8,4,0,8,4,66.7,4.76,-2.47,1.93
35,1.0,1.0,4.0,2.0,12,8,4,0,8,4,66.7,4.76,-2.47,1.93
33,0.8,1.0,4.0,2.0,14,8,6,0,8,6,57.1,4.69,-3.73,1.26
33,0.8,1.0,3.0,2.0,14,8,6,0,8,6,57.1,4.69,-3.73,1.26
35,0.7,0.7,3.0,2.0,12,6,6,0,6,6,50.0,4.54,-4.33,1.05
35,0.7,0.7,4.0,2.0,12,6,6,0,6,6,50.0,4.54,-4.33,1.05
35,0.7,0.5,4.0,2.0,12,6,6,0,6,6,50.0,4.2,-4.33,0.97
35,0.7,0.5,3.0,2.0,12,6,6,0,6,6,50.0,4.2,-4.33,0.97
35,0.7,0.5,2.0,2.0,12,6,6,0,6,6,50.0,4.2,-4.33,0.97
30,1.5,1.0,4.0,2.0,19,13,6,0,13,6,68.4,4.19,-3.82,1.1
30,1.5,1.0,3.0,2.0,19,13,6,0,13,6,68.4,4.19,-3.82,1.1
35,0.8,1.0,4.0,2.0,12,7,5,0,7,5,58.3,4.15,-2.58,1.6
35,0.8,1.0,3.0,2.0,12,7,5,0,7,5,58.3,4.15,-2.58,1.6
28,1.5,1.0,3.0,2.0,26,17,9,0,17,9,65.4,4.06,-3.97,1.02
28,1.5,1.0,4.0,2.0,26,17,9,0,17,9,65.4,4.06,-3.97,1.02
33,1.1,1.0,4.0,2.0,14,9,5,0,9,5,64.3,4.05,-3.52,1.15
33,1.1,1.0,3.0,2.0,14,9,5,0,9,5,64.3,4.05,-3.52,1.15
35,0.7,1.0,2.0,2.0,12,6,6,3,3,6,50.0,3.97,-4.33,0.92
35,1.1,1.0,3.0,2.0,12,8,4,0,8,4,66.7,3.94,-2.42,1.63
35,1.1,1.0,4.0,2.0,12,8,4,0,8,4,66.7,3.94,-2.42,1.63
35,0.7,0.7,2.0,2.0,12,6,6,1,5,6,50.0,3.46,-4.33,0.8
35,0.7,1.0,4.0,2.0,12,6,6,0,6,6,50.0,1.94,-4.4,0.44
35,0.7,1.0,3.0,2.0,12,6,6,0,6,6,50.0,1.94,-4.4,0.44
